"pdbid","ligand","dataset","SMILES","Cluster"
"2F4T","AB9","2013","[C@H]1([C@@H]([C@@H](O)[C@H](O)[C@H](O1)CN)N)O[C@@H]1[C@H](C[C@@H](NC(=O)[C@@H](CCN)O)[C@@H]([C@H]1O)OCCNCCN)N","Row6"
"2F4T","AB9","2016","[C@H]1([C@@H]([C@@H](O)[C@H](O)[C@H](O1)CN)N)O[C@@H]1[C@H](C[C@@H](NC(=O)[C@@H](CCN)O)[C@@H]([C@H]1O)OCCNCCN)N","Row6"
"2F4U","AB6","testing","[C@H]1([C@@H]([C@@H](O)[C@H](O)[C@H](O1)CO)N)O[C@@H]1[C@H](C[C@@H](NC(=O)[C@@H](CCN)O)[C@@H]([C@H]1O)OCCNCCCN)N","Row6"
"2FCX","XXX","2013","O[C@@H]1[C@@H](O)[C@H](N)C[C@H](N)[C@H]1O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1N","Row6"
"2FCX","XXX","2016","O[C@@H]1[C@@H](O)[C@H](N)C[C@H](N)[C@H]1O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1N","Row6"
"2FCY","NMY","2013","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN","Row6"
"2FCY","NMY","2016","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN","Row6"
"2FCZ","RIO","testing","OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O","Row6"
"2G5K","AM2","2013","[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O","Row6"
"2G5K","AM2","2016","[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O","Row6"
"2JUK","G0B","2013","[C@@H]1(O[C@@H]2[C@@H]([C@H]([C@H](NC(=[NH2+])N)C[C@@H]2NC(=[NH2+])N)O)O[C@H]2[C@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)CNC(=[NH2+])N)O)O)NC(=[NH2+])N)O)[C@@H](NC(=[NH2+])N)[C@H](O)[C@@H](O)[C@@H](O1)CNC(=[NH2+])N","Row6"
"2JUK","G0B","2016","[C@@H]1(O[C@@H]2[C@@H]([C@H]([C@H](NC(=[NH2+])N)C[C@@H]2NC(=[NH2+])N)O)O[C@H]2[C@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)CNC(=[NH2+])N)O)O)NC(=[NH2+])N)O)[C@@H](NC(=[NH2+])N)[C@H](O)[C@@H](O)[C@@H](O1)CNC(=[NH2+])N","Row6"
"2KXM","RIO","2013","OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O","Row6"
"2KXM","RIO","2016","OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O","Row6"
"2M4Q","AM2","2016","[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O","Row6"
