[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O	2M4Q_AM2_1_101	2M4Q
[nH]1c(nc2c(c1=O)c(CN)c[nH]2)N	2MIY_PRF_A_101	2MIY
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	2MXS_PAR_A_101	2MXS
[P@@H](=O)(O)OCCCO	ligand.pdb	2NPZ
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O)N)[C@H](N)[C@@H](OCO[C@@H]2[C@H]([C@@H](O)O[C@@H]([C@H]2O)CO)N)[C@H](O)[C@H](O1)CO	2O3V_N33_A_50	2O3V
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	2O3W_PAR_B_101	2O3W
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O)[C@H](O2)CN)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	2O3X_N30_B_1	2O3X
NCCCNCCCCNCCCN	2O3Y_SPM_A_51	2O3Y
[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O	2OE5_AM2_B_101	2OE5
[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O	2OE8_AM2_B_101	2OE8
[C@@H]1(O[C@@H]2[C@H](C[C@@H](NC(=O)[C@@H](O)CCN)[C@@H]([C@H]2O[C@@H]2O[C@@H]([C@H]([C@H]2OCCNCCc2ccccc2)O[C@@H]2[C@H](N)[C@@H](O)[C@H](O)[C@@H](O2)CN)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	2PWT_LHA_A_51	2PWT
N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12	ligand.pdb	2QWY
[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)N)O)O[C@H]1[C@@H](C[C@@H]([C@H]([C@@H]1O)O[C@@H]1[C@@H](C[C@@H]([C@@H](CN)O1)O)N)N)N	ligands/ligand.pdb	2TOB
C(O)C(O)CO	2W89_GOL_B_1973	2W89
n1c(C)nc(nc1N)N	2XNZ_3AW_A_1088	2XNZ
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	3BNQ_PAR_C_101	3BNQ
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	3C44_PAR_A_24	3C44
